Field Name
STATNAME
DISTNAME
DISTRICTS
BLOCKS
VILLAGES
CLUSTERS
TOTPOPULAT
P_URB_POP
POPULATION_0_6
GROWTHRATE
SEXRATIO
P_SC_POP
P_ST_POP
OVERALL_LI
FEMALE_LIT
MALE_LIT
AREA_SQKM
TOT_6_10_15
TOT_11_13_15
SCHTOT
SCHTOTG
SCHTOTP
SCHTOTM
SCHTOTGR
SCHTOTGA
SCHTOTPR
SCHBOYTOT
SCHGIRTOT
ENRTOTG
ENRTOTP
ENRTOTM
ENRTOTGR
ENRTOTPR
TCHTOTG
TCHTOTP
TCHTOTM
SCLSTOT
STCHTOT
ROADTOT
SPLAYTOT
SBNDRTOT
SGTOILTOT
SBTOILTOT
SWATTOT
SELETOT
SCOMPTOT
SRAMNTOT
ESTDTOT
MDMTOT
KITTOT
KITSTOT
ENR50TOT
SMCTOT
CLSTOT
TCHTOT
TCHFTOT
*TCHMTOT
ENRGTOT
PREP
PRESTD
*PPFTCH
*PPMTCH
*TCSTSCOBCFTOT
*TCSTSCOBCMTOT
*TCH_TRNRMTOT
*TCH_TRNRFTOT
*PGRMTCH
*PGRFTCH
C1_B
C2_B
C3_B
C4_B
C5_B
C6_B
C7_B
C8_B
C9_B
C1_G
C2_G
C3_G
C4_G
C5_G
C6_G
C7_G
C8_G
C9_G
C15A
C68A
C1_BD
C2_BD
C3_BD
C4_BD
C5_BD
C6_BD
C7_BD
C8_BD
C1_GD
C2_GD
C3_GD
C4_GD
C5_GD
C6_GD
C7_GD
C8_GD
C1_BR
C2_BR
C3_BR
C4_BR
C5_BR
C6_BR
C7_BR
C8_BR
C9_BR
C1_GR
C2_GR
C3_GR
C4_GR
C5_GR
C6_GR
C7_GR
C8_GR
C9_GR
SCPTOT
SCPTOT_G
SCUTOT
SCUTOT_G
STPTOT
STPTOT_G
STUTOT
STUTOT_G
OBPTOT
OBUTOT
OBPTOT_G
OBUTOT_G
MUPTOT
MUUTOT
MUPTOT_G
MUUTOT_G
BLC1
LVC1
HEC1
SPC1
LOC1
MEC1
LEC1
CPC1
AUC1
MUC1
BLC2
LVC2
HEC2
SPC2
LOC2
MEC2
LEC2
CPC2
AUC2
MUC2
BLC3
LVC3
HEC3
SPC3
LOC3
MEC3
LEC3
CPC3
AUC3
MUC3
BLC4
LVC4
HEC4
SPC4
LOC4
MEC4
LEC4
CPC4
AUC4
MUC4
BLC5
LVC5
HEC5
SPC5
LOC5
MEC5
LEC5
CPC5
AUC5
MUC5
BLC6
LVC6
HEC6
SPC6
LOC6
MEC6
LEC6
CPC6
AUC6
MUC6
BLC7
LVC7
HEC7
SPC7
LOC7
MEC7
LEC7
CPC7
AUC7
MUC7
BLC8
LVC8
HEC8
SPC8
LOC8
MEC8
LEC8
CPC8
AUC8
MUC8
